Date,Month,Year,Unemployment_Rate
2016-01-01,1,2016,4.97
2016-02-01,2,2016,4.74
2016-03-01,3,2016,4.62
2016-04-01,4,2016,4.51
2016-05-01,5,2016,4.1
2016-06-01,6,2016,3.96
2016-07-01,7,2016,4.2
2016-08-01,8,2016,4.14
2016-09-01,9,2016,4.11
2016-10-01,10,2016,4.32
2016-11-01,11,2016,4.23
2016-12-01,12,2016,4.29
2017-01-01,1,2017,4.46
2017-02-01,2,2017,3.99
2017-03-01,3,2017,3.78
2017-04-01,4,2017,3.72
2017-05-01,5,2017,3.51
2017-06-01,6,2017,3.57
2017-07-01,7,2017,3.34
2017-08-01,8,2017,3.33
2017-09-01,9,2017,3.92
2017-10-01,10,2017,3.73
2017-11-01,11,2017,3.83
2017-12-01,12,2017,3.67
2018-01-01,1,2018,3.86
2018-02-01,2,2018,3.82
2018-03-01,3,2018,3.39
2018-04-01,4,2018,3.38
2018-05-01,5,2018,3.09
2018-06-01,6,2018,3.0
2018-07-01,7,2018,2.91
2018-08-01,8,2018,3.34
2018-09-01,9,2018,3.22
2018-10-01,10,2018,3.12
2018-11-01,11,2018,3.46
2018-12-01,12,2018,3.22
2019-01-01,1,2019,3.49
2019-02-01,2,2019,3.03
2019-03-01,3,2019,2.88
2019-04-01,4,2019,2.87
2019-05-01,5,2019,2.81
2019-06-01,6,2019,2.59
2019-07-01,7,2019,2.5
2019-08-01,8,2019,2.53
2019-09-01,9,2019,2.52
2019-10-01,10,2019,2.69
2019-11-01,11,2019,2.79
2019-12-01,12,2019,3.08
2020-01-01,1,2020,3.03
2020-02-01,2,2020,2.58
2020-03-01,3,2020,4.65
2020-04-01,4,2020,14.64
2020-05-01,5,2020,14.52
2020-06-01,6,2020,14.57
2020-07-01,7,2020,14.52
2020-08-01,8,2020,14.37
2020-09-01,9,2020,13.97
2020-10-01,10,2020,13.73
2020-11-01,11,2020,13.42
2020-12-01,12,2020,13.07
2021-01-01,1,2021,12.37
2021-02-01,2,2021,11.75
2021-03-01,3,2021,10.94
2021-04-01,4,2021,10.26
2021-05-01,5,2021,10.08
2021-06-01,6,2021,9.74
2021-07-01,7,2021,9.29
2021-08-01,8,2021,9.35
2021-09-01,9,2021,9.29
2021-10-01,10,2021,9.1
2021-11-01,11,2021,9.19
2021-12-01,12,2021,9.28
2022-01-01,1,2022,8.91
2022-02-01,2,2022,8.77
2022-03-01,3,2022,7.66
2022-04-01,4,2022,7.61
2022-05-01,5,2022,7.03
2022-06-01,6,2022,6.48
2022-07-01,7,2022,6.16
2022-08-01,8,2022,5.56
2022-09-01,9,2022,5.67
2022-10-01,10,2022,5.53
2022-11-01,11,2022,5.49
2022-12-01,12,2022,5.01
2023-01-01,1,2023,4.78
2023-02-01,2,2023,4.86
2023-03-01,3,2023,4.57
2023-04-01,4,2023,4.49
2023-05-01,5,2023,4.34
2023-06-01,6,2023,4.09
2023-07-01,7,2023,4.02
2023-08-01,8,2023,4.34
2023-09-01,9,2023,4.25
2023-10-01,10,2023,4.49
2023-11-01,11,2023,4.56
2023-12-01,12,2023,5.14
